marketing_year,period,beginning_stocks,production,imports,total_supply,feed_and_residual,food_seed_industrial,exports,total_domestic_use,total_use,ending_stocks
1976/77,MY September-August,82.3,710.797,0.0,793.097,8.8,2.0,411.082,421.882,253.915,675.797
1977/78,MY September-August,117.3,780.944,0.022,898.266,9.4,2.0,447.624,459.024,222.842,681.866
1978/79,MY September-August,216.4,731.27,0.002,947.672,9.9,1.8,537.98,549.68,190.092,739.772
1979/80,MY September-August,207.9,807.422,0.002,1015.324,10.4,2.0,495.352,507.752,329.672,837.424
1980/81,MY September-August,177.9,579.343,0.01,757.253,9.1,2.0,322.594,333.694,293.159,626.853
1981/82,MY September-August,130.4,875.835,0.017,1006.252,8.8,2.0,417.139,427.939,259.613,687.552
1982/83,MY September-August,318.7,835.083,0.051,1153.834,7.9,1.8,494.88,504.58,210.054,714.634
1983/84,MY September-August,439.2,487.521,0.142,926.863,7.7,2.3,384.884,394.884,244.479,639.363
1984/85,MY September-August,287.5,866.241,0.121,1153.862,15.3,2.0,539.357,556.657,296.905,853.562
1985/86,MY September-August,300.3,1120.271,0.003,1420.574,26.0,1.7,663.88,691.58,177.988,869.568
1986/87,MY September-August,551.006,938.869,0.007,1489.882,5.336,1.6,541.286,548.222,198.327,746.549
1987/88,MY September-August,743.333,730.809,0.007,1474.149,17.542,1.3,561.073,579.915,231.583,811.498
1988/89,MY September-August,662.651,576.686,0.019,1239.356,16.238,1.5,471.921,489.659,310.185,799.844
1989/90,MY September-August,439.512,615.42,0.226,1055.158,18.7,1.3,508.33,528.33,307.069,835.399
1990/91,MY September-August,219.759,573.303,0.068,793.13,15.6,1.399,400.743,417.742,232.803,650.545
1991/92,MY September-August,142.585,584.86,0.007,727.452,15.3,1.69,365.836,382.826,291.434,674.26
1992/93,MY September-August,53.192,875.022,0.012,928.226,17.6,1.3,457.212,476.112,277.1,753.212
1993/94,MY September-August,175.014,534.172,0.008,709.194,18.8,1.2,440.055,460.055,201.568,661.623
1994/95,MY September-August,47.571,645.741,0.007,693.319,20.8,1.2,377.017,399.017,222.688,621.705
1995/96,MY September-August,71.614,458.648,0.014,530.276,17.4,1.6,295.083,314.083,197.822,511.905
1996/97,MY September-August,18.371,795.274,0.034,813.679,43.7,1.2,515.944,560.844,205.374,766.218
1997/98,MY September-August,47.461,633.545,0.011,681.017,53.9,1.2,364.931,420.031,212.083,632.114
1998/99,MY September-August,48.903,519.933,0.013,568.849,43.9,1.2,261.896,306.996,196.69,503.686
1999/00,MY September-August,65.163,595.166,0.003,660.332,53.9,1.149,284.647,339.696,255.261,594.957
2000/01,MY September-August,65.375,470.526,0.002,535.903,33.8,1.273,222.497,257.57,236.582,494.152
2001/02,MY September-August,41.751,514.04,0.0,555.791,21.8,1.192,230.011,253.003,241.815,494.818
2002/03,MY September-August,60.973,360.713,0.022,421.708,22.8,1.176,170.404,194.38,184.298,378.678
2003/04,MY September-August,43.03,411.219,0.001,454.25,39.0,0.915,182.013,221.928,198.773,420.701
2004/05,MY September-August,33.549,453.606,0.025,487.18,54.1,0.801,191.295,246.196,184.043,430.239
2005/06,MY September-August,56.941,392.739,0.002,449.682,49.218,0.806,139.681,189.705,194.314,384.019
2006/07,MY September-August,65.663,276.824,0.076,342.563,44.013,0.987,112.921,157.921,152.589,310.51
2007/08,MY September-August,32.053,497.445,0.039,529.537,34.1,1.055,164.892,200.047,276.74,476.787
2008/09,MY September-August,52.75,475.855,0.132,528.737,94.146,0.811,236.08,331.037,142.988,474.025
2009/10,MY September-August,54.712,381.605,0.005,436.322,89.257,0.743,140.949,230.949,164.133,395.082
2010/11,MY September-August,41.24,345.464,0.03,386.734,84.35,0.65,122.73,207.73,151.554,359.284
2011/12,MY September-August,27.45,212.993,0.105,240.548,84.226,0.774,69.186,154.186,63.41,217.596
2012/13,MY September-August,22.952,247.742,9.573,280.267,94.347,0.989,93.482,188.818,76.296,265.114
2013/14,MY September-August,15.153,392.331,0.09,407.574,69.01,0.877,92.673,162.56,210.982,373.542
2014/15,MY September-August,34.032,432.575,0.376,466.983,13.971,1.039,81.815,96.825,351.749,448.574
2015/16,MY September-August,18.409,596.751,4.587,619.747,136.139,0.809,104.322,241.27,341.845,583.115
2016/17,MY September-August,36.632,480.261,1.741,518.634,113.922,0.692,132.764,247.378,237.797,485.175
2017/18,MY September-August,33.459,361.871,2.018,397.348,59.698,0.705,101.737,162.14,200.354,362.494
2018/19,MY September-August,34.854,364.986,0.039,399.879,104.962,0.653,138.97,244.585,91.633,336.218
2019/20,MY September-August,63.661,341.46,0.05,405.171,74.417,0.745,96.695,171.857,203.219,375.076
2020/21,MY September-August,30.095,372.96,0.029,403.084,5.878,0.905,97.06,103.843,278.923,382.766
2021/22,MY September-August,20.318,447.81,0.013,468.141,44.158,0.915,79.952,125.025,295.839,420.864
2022/23,MY September-August,47.277,187.785,0.008,235.07,58.387,0.926,42.478,101.791,109.042,210.833
2023/24,MY September-August,24.237,317.745,0.021,342.003,23.505,0.783,50.941,75.229,234.063,309.292
2024/25,MY September-August,32.711,343.85,0.034,376.595,97.544,0.808,140.463,238.815,97.642,336.457
